id,queue_name,entity_id,entity_table,action,simulation_time,simulation_datetime,priority,queue_length_before,queue_length_after,wait_time
122,ProjectQueue,31,Deliverable,exit,424357.49473993503,2020-10-21 16:37:29.684396,,1,0,0.0
123,ProjectQueue,31,Deliverable,entry,424357.49473993503,2020-10-21 16:37:29.684396,,0,1,
124,ProjectQueue,31,Deliverable,exit,424357.49473993503,2020-10-21 16:37:29.684396,,1,0,0.0
125,ProjectQueue,32,Deliverable,entry,433964.81938798714,2020-10-28 08:44:49.163279,,0,1,
126,ProjectQueue,32,Deliverable,exit,433964.81938798714,2020-10-28 08:44:49.163279,,1,0,0.0
127,ProjectQueue,32,Deliverable,entry,433964.81938798714,2020-10-28 08:44:49.163279,,0,1,
128,ProjectQueue,32,Deliverable,exit,433964.81938798714,2020-10-28 08:44:49.163279,,1,0,0.0
129,ProjectQueue,33,Deliverable,entry,437031.50075159426,2020-10-30 11:51:30.045096,,0,1,
130,ProjectQueue,33,Deliverable,exit,437031.50075159426,2020-10-30 11:51:30.045096,,1,0,0.0
131,ProjectQueue,33,Deliverable,entry,437031.50075159426,2020-10-30 11:51:30.045096,,0,1,
132,ProjectQueue,33,Deliverable,exit,437031.50075159426,2020-10-30 11:51:30.045096,,1,0,0.0
133,ProjectQueue,34,Deliverable,entry,440830.21777622006,2020-11-02 03:10:13.066573,,0,1,
134,ProjectQueue,34,Deliverable,exit,440830.21777622006,2020-11-02 03:10:13.066573,,1,0,0.0
135,ProjectQueue,34,Deliverable,entry,440830.21777622006,2020-11-02 03:10:13.066573,,0,1,
136,ProjectQueue,34,Deliverable,exit,440830.21777622006,2020-11-02 03:10:13.066573,,1,0,0.0
137,ProjectQueue,35,Deliverable,entry,442251.6344724896,2020-11-03 02:51:38.068349,,0,1,
138,ProjectQueue,35,Deliverable,exit,442251.6344724896,2020-11-03 02:51:38.068349,,1,0,0.0
139,ProjectQueue,35,Deliverable,entry,442251.6344724896,2020-11-03 02:51:38.068349,,0,1,
140,ProjectQueue,35,Deliverable,exit,442251.6344724896,2020-11-03 02:51:38.068349,,1,0,0.0
141,ProjectQueue,36,Deliverable,entry,466342.9214765059,2020-11-19 20:22:55.288590,,0,1,
142,ProjectQueue,36,Deliverable,exit,466342.9214765059,2020-11-19 20:22:55.288590,,1,0,0.0
143,ProjectQueue,36,Deliverable,entry,466342.9214765059,2020-11-19 20:22:55.288590,,0,1,
144,ProjectQueue,36,Deliverable,exit,466342.9214765059,2020-11-19 20:22:55.288590,,1,0,0.0
145,ProjectQueue,37,Deliverable,entry,467772.9999361302,2020-11-20 20:12:59.996168,,0,1,
146,ProjectQueue,37,Deliverable,exit,467772.9999361302,2020-11-20 20:12:59.996168,,1,0,0.0
147,ProjectQueue,37,Deliverable,entry,467772.9999361302,2020-11-20 20:12:59.996168,,0,1,
148,ProjectQueue,37,Deliverable,exit,467772.9999361302,2020-11-20 20:12:59.996168,,1,0,0.0
149,ProjectQueue,38,Deliverable,entry,478151.448782001,2020-11-28 01:11:26.926920,,0,1,
150,ProjectQueue,38,Deliverable,exit,478151.448782001,2020-11-28 01:11:26.926920,,1,0,0.0
151,ProjectQueue,38,Deliverable,entry,478151.448782001,2020-11-28 01:11:26.926920,,0,1,
152,ProjectQueue,38,Deliverable,exit,478151.448782001,2020-11-28 01:11:26.926920,,1,0,0.0
153,ProjectQueue,39,Deliverable,entry,490711.32814882876,2020-12-06 18:31:19.688930,,0,1,
154,ProjectQueue,39,Deliverable,exit,490711.32814882876,2020-12-06 18:31:19.688930,,1,0,0.0
155,ProjectQueue,39,Deliverable,entry,490711.32814882876,2020-12-06 18:31:19.688930,,0,1,
156,ProjectQueue,39,Deliverable,exit,490711.32814882876,2020-12-06 18:31:19.688930,,1,0,0.0
157,ProjectQueue,40,Deliverable,entry,493988.0163848464,2020-12-09 01:08:00.983091,,0,1,
158,ProjectQueue,40,Deliverable,exit,493988.0163848464,2020-12-09 01:08:00.983091,,1,0,0.0
159,ProjectQueue,40,Deliverable,entry,493988.0163848464,2020-12-09 01:08:00.983091,,0,1,
160,ProjectQueue,40,Deliverable,exit,493988.0163848464,2020-12-09 01:08:00.983091,,1,0,0.0
161,ProjectQueue,41,Deliverable,entry,503089.2811417459,2020-12-15 08:49:16.868505,,0,1,
162,ProjectQueue,41,Deliverable,exit,503089.2811417459,2020-12-15 08:49:16.868505,,1,0,0.0
163,ProjectQueue,41,Deliverable,entry,503089.2811417459,2020-12-15 08:49:16.868505,,0,1,
164,ProjectQueue,41,Deliverable,exit,503089.2811417459,2020-12-15 08:49:16.868505,,1,0,0.0
165,ProjectQueue,42,Deliverable,entry,518392.374286596,2020-12-25 23:52:22.457196,,0,1,
166,ProjectQueue,42,Deliverable,exit,518392.374286596,2020-12-25 23:52:22.457196,,1,0,0.0
167,ProjectQueue,42,Deliverable,entry,518392.374286596,2020-12-25 23:52:22.457196,,0,1,
168,ProjectQueue,42,Deliverable,exit,518392.374286596,2020-12-25 23:52:22.457196,,1,0,0.0
169,ProjectQueue,43,Deliverable,entry,525123.7598399877,2020-12-30 16:03:45.590399,,0,1,
170,ProjectQueue,43,Deliverable,exit,525123.7598399877,2020-12-30 16:03:45.590399,,1,0,0.0
171,ProjectQueue,43,Deliverable,entry,525123.7598399877,2020-12-30 16:03:45.590399,,0,1,
172,ProjectQueue,43,Deliverable,exit,525123.7598399877,2020-12-30 16:03:45.590399,,1,0,0.0
173,ProjectQueue,44,Deliverable,entry,550551.2656682042,2021-01-17 07:51:15.940092,,0,1,
174,ProjectQueue,44,Deliverable,exit,550551.2656682042,2021-01-17 07:51:15.940092,,1,0,0.0
175,ProjectQueue,44,Deliverable,entry,550551.2656682042,2021-01-17 07:51:15.940092,,0,1,
176,ProjectQueue,44,Deliverable,exit,550551.2656682042,2021-01-17 07:51:15.940092,,1,0,0.0
177,ProjectQueue,45,Deliverable,entry,635412.7352919874,2021-03-17 06:12:44.117519,,0,1,
178,ProjectQueue,45,Deliverable,exit,635412.7352919874,2021-03-17 06:12:44.117519,,1,0,0.0
179,ProjectQueue,45,Deliverable,entry,635412.7352919874,2021-03-17 06:12:44.117519,,0,1,
180,ProjectQueue,45,Deliverable,exit,635412.7352919874,2021-03-17 06:12:44.117519,,1,0,0.0
181,ProjectQueue,46,Deliverable,entry,662714.5926062323,2021-04-05 05:14:35.556374,,0,1,
182,ProjectQueue,46,Deliverable,exit,662714.5926062323,2021-04-05 05:14:35.556374,,1,0,0.0
